TW_early TW_late TW_service_time
0.0 3390.0 0.0
776.0 936.0 90.0
871.0 1031.0 90.0
680.0 840.0 90.0
493.0 653.0 90.0
588.0 748.0 90.0
2758.0 2918.0 90.0
401.0 561.0 90.0
2666.0 2826.0 90.0
2009.0 2169.0 90.0
120.0 280.0 90.0
2573.0 2733.0 90.0
308.0 468.0 90.0
12.0 172.0 90.0
2856.0 3016.0 90.0
967.0 1127.0 90.0
2105.0 2265.0 90.0
213.0 373.0 90.0
25.0 185.0 90.0
2480.0 2640.0 90.0
1819.0 1979.0 90.0
1913.0 2073.0 90.0
1065.0 1225.0 90.0
1725.0 1885.0 90.0
2292.0 2452.0 90.0
2200.0 2360.0 90.0
2385.0 2545.0 90.0
1160.0 1320.0 90.0
1630.0 1790.0 90.0
3001.0 3161.0 90.0
10.0 170.0 90.0
1256.0 1416.0 90.0
1350.0 1510.0 90.0
1442.0 1602.0 90.0
1535.0 1695.0 90.0
