Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 12 0 53.71 143.71 53.71 0
#1 service 10 0 147.71 237.71 57.71 0
#1 service 9 0 241.84 331.84 61.84 0
#1 service 8 0 335.96 425.96 65.96 0
#1 service 7 0 426.96 516.96 66.96 0
#1 service 3 0 518.37 608.37 68.37 0
#1 service 2 0 609.79 699.79 69.79 0
#1 service 1 0 701.2 791.2 71.2 0
#1 service 5 0 793.2 883.2 73.2 0
#1 service 4 0 884.2 974.2 74.2 0
#1 service 6 0 976.44 1066.44 76.44 0
#1 service 11 0 1074.25 1164.25 84.25 0
#1 finish 0 0 1220.22 1220.22 140.22 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  1220.22 140.22 0
