Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 1 0 126.73 216.73 126.73 0
#1 service 8 262.8 265.2 618.0 175.2 0
#1 service 3 84.18 671.82 846.0 229.02 0
#1 service 6 0 872.42 962.42 255.44 23.42
#1 service 4 0 1017.86 1107.86 310.89 225.86
#1 service 5 0 1116.35 1206.35 319.37 127.35
#1 service 2 0 1263.63 1353.63 376.65 466.63
#1 service 7 0 1403.96 1493.96 426.98 672.96
#1 service 10 0 1497.96 1587.96 430.98 970.96
#1 service 9 0 1598.4 1688.4 441.42 512.4
#1 service 11 0 1752.78 1842.78 505.8 888.78
#1 finish 0 0 1925.88 1925.88 588.9 429.88
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   346.98  1925.88 588.9 4318.23
