Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 7 1229.55 112.45 1352.0 112.45 0
#1 service 2 0 1359.21 1369.21 119.66 852.21
#1 service 4 0 1387.65 1397.65 138.1 938.65
#1 service 9 0 1421.5 1431.5 161.95 765.5
#1 service 5 0 1446.5 1456.5 176.95 1118.5
#1 service 10 0 1470.11 1480.11 190.55 772.11
#1 service 11 0 1488.71 1498.71 199.15 1220.71
#1 service 3 0 1515.26 1525.26 215.71 721.26
#1 service 1 0 1543.29 1553.29 233.73 1295.29
#1 service 6 0 1567.71 1577.71 248.16 86.71
#1 service 8 0 1593.74 1603.74 264.19 849.74
#1 finish 0 0 1700.89 1700.89 361.33 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   1229.55  1700.89 361.33 8620.68
