Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 1 0 211.27 221.27 211.27 0
#1 service 2 289.87 332.13 632.0 322.13 0
#1 service 4 44.4 685.6 740.0 375.73 0
#1 service 8 0 817.52 827.52 453.25 292.52
#1 service 5 0 838.93 848.93 464.65 7.93
#1 service 7 0 880.83 890.83 496.56 251.83
#1 service 12 0 903.0 913.0 508.72 296.0
#1 service 11 0 957.29 967.29 553.02 220.29
#1 service 9 0 1024.18 1034.18 609.9 200.18
#1 service 6 0 1148.02 1158.02 723.75 0
#1 service 10 339.16 1235.84 1585.0 801.57 0
#1 service 3 0 1702.27 1712.27 918.84 227.27
#1 finish 0 0 1776.4 1776.4 982.97 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   673.43  1776.4 982.97 1496.02
