Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 10 0 15.13 105.13 15.13 0
#1 service 9 0 107.37 197.37 17.37 0
#1 service 8 0 200.37 290.37 20.37 0
#1 service 6 0 312.3 402.3 42.3 0
#1 service 5 0 405.3 495.3 45.3 0
#1 service 4 0 497.3 587.3 47.3 0
#1 service 1 0 594.37 684.37 54.37 0
#1 service 2 0 689.37 779.37 59.37 0
#1 service 3 0 782.37 872.37 62.37 0
#1 service 7 0 891.61 981.61 81.61 0
#1 finish 0 0 998.37 998.37 98.37 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  998.37 98.37 0
