Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 1 0 21.1 31.1 21.1 0
#1 service 9 2.58 54.42 67.0 44.42 0
#1 service 6 0 77.3 87.3 54.71 0
#1 service 2 0 100.9 110.9 68.32 0
#1 service 8 0 130.82 140.82 88.24 20.82
#1 service 5 0 148.03 158.03 95.45 29.03
#1 service 4 0 166.1 176.1 103.51 14.1
#1 service 3 0 186.87 196.87 114.28 11.87
#1 service 7 0 204.87 214.87 122.28 92.87
#1 service 10 0 266.29 276.29 173.7 72.29
#1 finish 0 0 301.9 301.9 199.32 71.9
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   2.58  301.9 199.32 312.87
