Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 9 0 20.62 30.62 20.62 0
#1 service 4 0 47.64 57.64 37.64 0
#1 service 2 0 66.19 76.19 46.19 0
#1 service 1 0 79.79 89.79 49.79 0
#1 service 3 0 99.23 109.23 59.23 0
#1 service 7 0 119.13 129.13 69.13 0
#1 service 10 0 156.04 166.04 96.04 75.04
#1 service 8 0 182.44 192.44 112.44 0
#1 service 6 0 199.44 209.44 119.44 117.44
#1 service 5 0 219.44 229.44 129.44 93.44
#1 finish 0 0 256.45 256.45 156.45 16.45
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  256.45 156.45 302.36
