Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 10 0 16.76 106.76 16.76 0
#1 service 21 0 121.63 211.63 31.63 0
#1 service 25 0 216.63 306.63 36.63 0
#1 service 29 0 312.01 402.01 42.01 0
#1 service 34 0 415.01 505.01 55.01 0
#1 service 33 0 510.01 600.01 60.01 0
#1 service 47 0 622.58 712.58 82.58 0
#1 service 50 0 717.58 807.58 87.58 0
#1 service 49 0 811.18 901.18 91.18 0
#1 service 66 0 920.18 1010.18 110.18 0
#1 service 65 0 1015.28 1105.28 115.28 0
#1 service 90 0 1124.49 1214.49 134.49 0
#1 service 98 0 1234.59 1324.59 154.59 119.59
#1 service 15 0 1362.92 1452.92 192.92 933.92
#1 service 8 0 1474.55 1564.55 214.55 1150.55
#1 service 71 0 1630.41 1720.41 280.41 542.41
#1 service 73 0 1726.24 1816.24 286.24 636.24
#1 service 76 0 1821.63 1911.63 291.63 1561.63
#1 service 72 0 1948.97 2038.97 328.97 826.97
#1 service 74 0 2043.97 2133.97 333.97 1631.97
#1 service 24 0 2165.73 2255.73 365.73 1034.73
#1 service 30 0 2262.8 2352.8 372.8 1137.8
#1 service 38 0 2377.8 2467.8 397.8 1855.8
#1 service 54 0 2519.42 2609.42 449.42 1414.42
#1 finish 0 0 2649.47 2649.47 489.47 1413.47
#2 start 0 0 0 0 0.0 0
#2 service 85 0 29.73 119.73 29.73 0
#2 service 32 0 181.08 271.08 91.08 0
#2 service 45 0 293.44 383.44 113.44 0
#2 service 39 0 416.99 506.99 146.99 0
#2 service 6 0 553.63 643.63 193.63 0
#2 service 12 0 665.56 755.56 215.56 0
#2 service 2 0 780.56 870.56 240.56 0
#2 service 5 0 876.4 966.4 246.4 0
#2 service 62 0 997.44 1087.44 277.44 680.44
#2 service 46 0 1107.67 1197.67 297.67 0
#2 service 22 0 1217.77 1307.77 317.77 84.77
#2 service 19 0 1338.64 1428.64 348.64 232.64
#2 service 31 0 1473.92 1563.92 393.92 361.92
#2 service 40 0 1589.41 1679.41 419.41 464.41
#2 service 86 0 1719.23 1809.23 459.23 600.23
#2 service 69 0 1838.23 1928.23 488.23 869.23
#2 service 3 0 1959.38 2049.38 519.38 830.38
#2 service 95 0 2073.79 2163.79 543.79 965.79
#2 service 75 0 2186.46 2276.46 566.46 1056.46
#2 service 17 0 2305.26 2395.26 595.26 1193.26
#2 service 28 0 2415.87 2505.87 615.87 1287.87
#2 service 27 0 2508.87 2598.87 618.87 1380.87
#2 service 26 0 2602.48 2692.48 622.48 1472.48
#2 service 53 0 2745.97 2835.97 675.97 2398.97
#2 service 48 0 2865.65 2955.65 705.65 1743.65
#2 service 4 0 2996.14 3086.14 746.14 2214.14
#2 service 97 0 3110.9 3200.9 770.9 2005.9
#2 service 61 0 3256.81 3346.81 826.81 2133.81
#2 service 41 0 3361.94 3451.94 841.94 2234.94
#2 service 100 0 3508.59 3598.59 898.59 2782.59
#2 service 89 0 3626.75 3716.75 926.75 2505.75
#2 service 23 0 3751.87 3841.87 961.87 2974.87
#2 service 57 0 3883.64 3973.64 1003.64 2772.64
#2 service 84 0 4026.07 4116.07 1056.07 3503.07
#2 service 36 0 4182.35 4272.35 1122.35 3072.35
#2 service 67 0 4314.65 4404.65 1164.65 4237.65
#2 service 87 0 4428.08 4518.08 1188.08 4284.08
#2 service 35 0 4581.33 4671.33 1251.33 3474.33
#2 service 55 0 4713.39 4803.39 1293.39 4555.39
#2 service 64 0 4819.54 4909.54 1309.54 3695.54
#2 service 80 0 4946.88 5036.88 1346.88 3852.88
#2 service 81 0 5046.88 5136.88 1356.88 3948.88
#2 service 79 0 5142.26 5232.26 1362.26 4411.26
#2 service 96 0 5289.09 5379.09 1419.09 4180.09
#2 service 14 0 5417.42 5507.42 1457.42 4311.42
#2 service 92 0 5552.42 5642.42 1502.42 5111.42
#2 service 63 0 5690.52 5780.52 1550.52 4559.52
#2 service 77 0 5819.81 5909.81 1589.81 5176.81
#2 service 88 0 5947.61 6037.61 1627.61 4828.61
