Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 28 32.68 6.32 49.0 6.32 0
#1 service 11 0 84.0 94.0 41.32 7.0
#1 service 24 4.92 148.08 163.0 95.41 0
#1 service 9 0 189.93 199.93 122.33 82.93
#1 service 3 0 214.93 224.93 137.33 88.93
#1 service 12 0 236.11 246.11 148.51 163.11
#1 service 26 0 253.18 263.18 155.59 111.18
#1 service 4 0 277.32 287.32 169.73 118.32
#1 service 25 0 297.32 307.32 179.73 115.32
#1 service 1 0 344.96 354.96 217.37 173.96
#1 service 22 0 394.17 404.17 256.57 287.17
#1 service 20 0 459.17 469.17 311.57 323.17
#1 service 6 0 509.48 519.48 351.89 400.48
#1 service 21 0 541.84 551.84 374.25 469.84
#1 service 8 0 593.72 603.72 416.13 488.72
#1 service 14 0 637.1 647.1 449.5 595.1
#1 service 18 0 677.51 687.51 479.92 580.51
#1 service 2 0 714.97 724.97 507.38 654.97
#1 service 10 0 768.26 778.26 550.67 634.26
#1 service 30 0 788.26 798.26 560.67 707.26
#1 service 23 0 855.27 865.27 617.68 777.27
#1 service 17 0 921.17 931.17 673.58 754.17
#1 service 19 0 962.79 972.79 705.2 876.79
#1 service 15 0 1029.8 1039.8 762.21 958.8
#1 service 7 0 1085.9 1095.9 808.31 994.9
#1 service 27 0 1113.93 1123.93 826.33 1066.93
#1 service 5 0 1146.29 1156.29 848.7 1102.29
#1 service 13 0 1172.1 1182.1 864.51 1003.1
#1 service 29 0 1220.11 1230.11 902.52 1147.11
#1 finish 16 0 1288.42 1298.42 960.83 1203.42
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   37.59  1298.42 960.83 15886.98
