Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 12 0 32.39 42.39 32.39 0
#1 service 14 0 45.39 55.39 35.39 0
#1 service 16 0 62.46 72.46 42.46 0
#1 service 79 0 101.09 111.09 71.09 0
#1 service 6 0 124.99 134.99 84.99 0
#1 service 1 0 147.19 157.19 97.19 0
#1 service 70 3.94 176.06 190.0 116.06 0
#1 service 80 0 215.06 225.06 141.12 0
#1 service 96 0 235.69 245.69 151.75 21.69
#1 service 44 0 273.69 283.69 179.75 179.69
#1 service 38 0 290.97 300.97 187.03 185.97
#1 service 31 0 352.94 362.94 239.0 173.94
#1 service 26 0 371.54 381.54 247.61 200.54
#1 service 30 0 388.54 398.54 254.61 284.54
#1 finish 67 0 425.38 435.38 281.44 325.38
#2 start 0 0 0 0 0.0 0
#2 service 15 18.71 39.29 68.0 39.29 0
#2 service 39 0 138.46 148.46 109.75 71.46
#2 service 93 1.53 176.47 188.0 137.77 0
#2 service 61 0 208.62 218.62 158.38 0
#2 service 53 0 247.77 257.77 187.54 126.77
#2 service 95 0 296.05 306.05 225.81 87.05
#2 service 99 0 336.11 346.11 255.88 229.11
#2 service 36 0 409.52 419.52 319.29 336.52
#2 service 89 0 499.55 509.55 399.32 322.55
#2 service 72 0 569.68 579.68 459.45 367.68
#2 service 59 0 649.21 659.21 528.98 462.21
#2 service 52 0 677.24 687.24 547.0 472.24
#2 service 94 0 723.95 733.95 583.72 511.95
#2 service 45 0 784.2 794.2 633.97 717.2
#2 service 69 0 826.15 836.15 665.92 755.15
#2 service 56 0 861.65 871.65 691.42 701.65
#2 service 91 0 878.72 888.72 698.49 661.72
#2 service 88 0 918.4 928.4 728.17 821.4
#2 service 76 0 986.81 996.81 786.58 881.81
#2 service 29 0 1034.62 1044.62 824.38 857.62
#2 service 75 0 1134.76 1144.76 914.52 962.76
#2 service 87 0 1165.0 1175.0 934.77 1045.0
#2 service 55 0 1215.25 1225.25 975.02 1045.25
#2 service 33 0 1290.44 1300.44 1040.21 1209.44
#2 service 74 0 1365.64 1375.64 1105.4 1194.64
#2 service 48 0 1402.26 1412.26 1132.03 1218.26
#2 service 22 0 1422.46 1432.46 1142.23 1300.46
#2 service 3 0 1504.74 1514.74 1214.51 1314.74
#2 service 40 0 1552.74 1562.74 1252.51 1437.74
#2 service 68 0 1594.75 1604.75 1284.52 1420.75
#2 service 2 0 1628.19 1638.19 1307.95 1429.19
#2 service 25 0 1709.38 1719.38 1379.15 1525.38
#2 service 13 0 1761.81 1771.81 1421.58 1589.81
#2 service 98 0 1798.83 1808.83 1448.59 1583.83
#2 service 77 0 1857.92 1867.92 1497.69 1677.92
#2 service 20 0 1890.39 1900.39 1520.16 1696.39
#2 service 47 0 1950.39 1960.39 1570.16 1759.39
#2 service 49 0 2012.25 2022.25 1622.01 1878.25
#2 service 81 0 2068.78 2078.78 1668.54 1851.78
#2 service 100 0 2098.9 2108.9 1688.67 1888.9
#2 service 65 0 2136.2 2146.2 1715.96 2095.2
#2 service 58 0 2182.25 2192.25 1752.02 2000.25
#2 service 92 0 2242.58 2252.58 1802.35 2198.58
#2 service 5 0 2305.99 2315.99 1855.76 2116.99
#2 service 35 0 2362.99 2372.99 1902.76 2193.99
#2 service 42 0 2385.99 2395.99 1915.76 2322.99
#2 service 84 0 2447.03 2457.03 1966.8 2321.03
#2 service 43 0 2513.07 2523.07 2022.84 2322.07
#2 service 10 0 2586.71 2596.71 2086.48 2437.71
#2 service 41 0 2656.11 2666.11 2145.88 2534.11
#2 service 50 0 2708.49 2718.49 2188.26 2514.49
#2 service 23 0 2763.84 2773.84 2233.6 2668.84
#2 service 73 0 2839.57 2849.57 2299.34 2649.57
#2 service 18 0 2918.77 2928.77 2368.54 2734.77
#2 service 83 0 2955.7 2965.7 2395.47 2745.7
#2 service 90 0 2981.7 2991.7 2411.47 2756.7
#2 service 71 0 3020.82 3030.82 2440.59 2816.82
#2 service 51 0 3067.22 3077.22 2476.99 2871.22
#2 service 11 0 3128.3 3138.3 2528.07 3039.3
#2 service 64 0 3176.63 3186.63 2566.39 3093.63
#2 service 24 0 3203.18 3213.18 2582.95 3009.18
#2 service 28 0 3269.22 3279.22 2638.99 3095.22
#2 service 85 0 3309.06 3319.06 2668.82 3115.06
#2 service 21 0 3348.26 3358.26 2698.03 3163.26
#2 service 54 0 3415.27 3425.27 2755.04 3204.27
#2 service 63 0 3466.5 3476.5 2796.27 3276.5
#2 service 4 0 3551.5 3561.5 2871.27 3380.5
#2 service 62 0 3625.14 3635.14 2934.91 3543.14
#2 service 57 0 3671.54 3681.54 2971.31 3468.54
#2 service 82 0 3699.79 3709.79 2989.56 3484.79
#2 service 8 0 3748.69 3758.69 3028.46 3627.69
#2 service 7 0 3763.69 3773.69 3033.46 3569.69
