Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 9 58.92 263.08 412.0 263.08 0
#1 service 1 0 468.94 558.94 320.02 0
#1 service 2 0 627.95 717.95 389.02 0
#1 service 3 0 720.77 810.77 391.85 0
#1 service 4 0 815.77 905.77 396.85 0
#1 service 7 0 933.67 1023.67 424.74 27.67
#1 service 10 0 1050.69 1140.69 451.76 437.69
#1 service 6 0 1163.25 1253.25 474.32 69.25
#1 service 5 0 1281.1 1371.1 502.18 0
#1 service 8 0 1427.1 1517.1 558.18 88.1
#1 service 12 0 1609.03 1699.03 650.11 335.03
#1 service 11 0 1701.86 1791.86 652.93 615.86
#1 finish 0 0 2004.73 2004.73 865.81 180.73
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   58.92  2004.73 865.81 1754.32
