Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 5 573.75 99.25 683.0 99.25 0
#1 service 7 23.07 704.93 738.0 121.18 0
#1 service 10 6.79 776.21 793.0 159.39 0
#1 service 9 0 856.13 866.13 222.52 0
#1 service 6 0 887.68 897.68 244.06 32.68
#1 service 3 0 913.68 923.68 260.06 0
#1 service 2 0 950.6 960.6 286.99 0
#1 service 1 0 975.9 985.9 302.29 65.9
#1 service 12 0 1020.07 1030.07 336.46 0
#1 service 4 0 1051.45 1061.45 357.84 146.45
#1 service 11 0 1130.04 1140.04 426.43 258.04
#1 service 8 0 1153.5 1163.5 439.89 239.5
#1 finish 0 0 1215.51 1215.51 491.9 9.51
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   603.61  1215.51 491.9 752.08
