Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 8 0 134.03 144.03 134.03 0
#1 service 6 0 159.07 169.07 149.07 0
#1 service 4 0 190.47 200.47 170.47 0
#1 service 1 479.5 218.5 708.0 188.5 0
#1 service 2 0 718.82 728.82 199.31 0
#1 service 3 0 732.42 742.42 202.92 0
#1 service 7 0 777.31 787.31 237.8 0
#1 service 11 0 823.93 833.93 274.42 0
#1 service 9 0 839.03 849.03 279.52 0
#1 service 10 0 851.03 861.03 281.52 0
#1 service 5 0 877.79 887.79 298.29 0
#1 finish 0 0 1034.37 1034.37 444.86 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   479.5  1034.37 444.86 0
