Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 9 0 10.0 100.0 10.0 0
#1 service 2 0 105.0 195.0 15.0 0
#1 service 1 0 197.83 287.83 17.83 0
#1 service 5 0 291.43 381.43 21.43 0
#1 service 10 0 394.43 484.43 34.43 0
#1 service 6 0 500.05 590.05 50.05 0
#1 service 3 0 593.05 683.05 53.05 0
#1 service 4 0 685.05 775.05 55.05 0
#1 service 7 0 779.3 869.3 59.3 0
#1 service 8 0 871.3 961.3 61.3 0
#1 finish 0 0 971.5 971.5 71.5 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  971.5 71.5 0
