Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 5 0 33.97 43.97 33.97 0
#1 service 3 0 53.4 63.4 43.4 0
#1 service 10 0 78.54 88.54 58.54 0
#1 service 9 0 100.54 110.54 70.54 0
#1 service 7 0 123.69 133.69 83.69 0
#1 service 8 0 137.93 147.93 87.93 0
#1 service 4 0 156.18 166.18 96.18 0
#1 service 2 0 185.88 195.88 115.88 29.88
#1 service 1 0 211.14 221.14 131.14 11.14
#1 service 6 0 252.76 262.76 162.76 77.76
#1 finish 0 0 296.76 296.76 196.76 66.76
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  296.76 196.76 185.55
