Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 7 19.96 45.04 75.0 45.04 0
#1 service 3 0 77.0 87.0 47.04 0
#1 service 2 0 89.0 99.0 49.04 0
#1 service 1 0 101.0 111.0 51.04 0
#1 service 5 0 118.28 128.28 58.32 0
#1 service 6 0 131.89 141.89 61.93 9.89
#1 service 4 0.93 153.07 164.0 73.11 0
#1 service 8 0 206.43 216.43 115.54 124.43
#1 service 9 0 266.47 276.47 165.58 97.47
#1 service 10 0 316.72 326.72 205.83 106.72
#1 finish 0 0 345.95 345.95 225.06 105.95
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   20.89  345.95 225.06 444.45
