Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 4 0 32.65 122.65 32.65 0
#1 service 10 0 128.73 218.73 38.73 0
#1 service 12 0 221.73 311.73 41.73 0
#1 service 7 0 315.73 405.73 45.73 0
#1 service 8 0 406.73 496.73 46.73 0
#1 service 9 0 502.56 592.56 52.56 0
#1 service 11 0 596.17 686.17 56.17 0
#1 service 6 0 690.64 780.64 60.64 0
#1 service 2 0 783.47 873.47 63.47 0
#1 service 5 0 876.3 966.3 66.3 0
#1 service 3 70.29 967.71 1128.0 67.71 0
#1 service 1 0 1139.0 1229.0 78.71 0
#1 finish 0 0 1269.46 1269.46 119.17 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   70.29  1269.46 119.17 0
