Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 12 0 102.42 192.42 102.42 0
#1 service 9 0 203.19 293.19 113.19 0
#1 service 10 0 298.29 388.29 118.29 0
#1 service 8 0 391.89 481.89 121.89 0
#1 service 11 0 488.6 578.6 128.6 0
#1 service 5 0 623.24 713.24 173.24 0
#1 service 7 0 719.57 809.57 179.57 0
#1 service 6 0 814.04 904.04 184.04 0
#1 service 3 0 907.2 997.2 187.2 0
#1 service 1 0 1019.13 1109.13 209.13 0
#1 service 2 0 1126.22 1216.22 226.22 0
#1 service 4 0 1222.62 1312.62 232.62 0
#1 finish 0 0 1394.26 1394.26 314.26 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  1394.26 314.26 0
