Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 6 0 97.42 107.42 97.42 0
#1 service 4 184.26 113.74 308.0 103.74 0
#1 service 5 0 317.85 327.85 113.59 0
#1 service 10 0 350.32 360.32 136.06 0
#1 service 12 152.97 367.03 530.0 142.77 0
#1 service 11 43.79 537.21 591.0 149.98 0
#1 service 9 0 599.94 609.94 158.93 0
#1 service 8 0 668.02 678.02 217.0 0
#1 service 1 0 789.33 799.33 328.31 488.33
#1 service 2 0 870.05 880.05 399.03 242.05
#1 service 7 0 917.27 927.27 436.25 0
#1 service 3 0 1010.75 1020.75 519.74 0
#1 finish 0 0 1118.34 1118.34 617.32 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   381.02  1118.34 617.32 730.38
