Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 5 0 8.06 18.06 8.06 0
#1 service 9 0 44.99 54.99 34.99 0
#1 service 7 0 55.99 65.99 35.99 0
#1 service 6 0 69.99 79.99 39.99 0
#1 service 12 0 117.72 127.72 77.72 0
#1 service 4 0 149.81 159.81 99.81 0
#1 service 11 91.14 170.86 272.0 110.86 0
#1 service 3 0 288.12 298.12 126.98 190.12
#1 service 10 0 329.27 339.27 158.13 230.27
#1 service 1 0 373.98 383.98 192.84 0
#1 service 2 0 405.17 415.17 214.03 343.17
#1 service 8 0 446.94 456.94 245.8 372.94
#1 finish 0 0 480.13 480.13 268.99 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   91.14  480.13 268.99 1136.5
