Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 7 0 15.13 105.13 15.13 0
#1 service 6 0 106.13 196.13 16.13 0
#1 service 5 0 198.13 288.13 18.13 0
#1 service 2 0 290.96 380.96 20.96 0
#1 service 3 151.04 382.96 624.0 22.96 0
#1 service 1 0 626.24 716.24 25.2 0
#1 service 4 8.53 718.47 817.0 27.43 0
#1 service 8 0 820.0 910.0 30.43 0
#1 service 9 0 913.0 1003.0 33.43 0
#1 service 10 0 1037.48 1127.48 67.92 0
#1 finish 0 0 1146.16 1146.16 86.6 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   159.57  1146.16 86.6 0
