Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 10 0 20.62 110.62 20.62 0
#1 service 2 0 125.91 215.91 35.91 0
#1 service 3 59.89 226.11 376.0 46.11 0
#1 service 9 0 403.73 493.73 73.84 0
#1 service 4 0 519.44 609.44 99.55 0
#1 service 8 0 612.44 702.44 102.55 0
#1 service 6 0 707.44 797.44 107.55 0
#1 service 1 0 802.83 892.83 112.94 0
#1 service 5 0 898.21 988.21 118.32 0
#1 service 7 0 990.21 1080.21 120.32 0
#1 finish 0 0 1115.27 1115.27 155.38 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   59.89  1115.27 155.38 0
