Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 9 0 5.0 15.0 5.0 0
#1 service 7 0 21.71 31.71 11.71 0
#1 service 3 0 41.14 51.14 21.14 0
#1 service 6 22.44 64.56 97.0 34.56 0
#1 service 5 0 112.03 122.03 49.59 0
#1 service 4 0 131.09 141.09 58.65 0
#1 service 1 0 147.49 157.49 65.05 0
#1 service 2 0 160.32 170.32 67.88 25.32
#1 service 8 0 188.35 198.35 85.91 32.35
#1 service 10 0 206.41 216.41 93.97 69.41
#1 finish 0 0 220.88 220.88 98.44 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   22.44  220.88 98.44 127.08
