Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 2 20.24 24.76 55.0 24.76 0
#1 service 21 0 81.57 91.57 51.33 0
#1 service 12 166.13 101.87 278.0 61.63 0
#1 service 15 0 304.93 314.93 88.55 0
#1 service 24 0 352.05 362.05 125.67 0
#1 service 4 0 409.43 419.43 173.05 0
#1 service 7 0 432.85 442.85 186.47 0
#1 service 23 0 481.79 491.79 225.42 148.79
#1 service 25 0 504.52 514.52 238.15 0
#1 service 9 0 560.59 570.59 284.21 0
#1 service 6 0 578.83 588.83 292.46 0
#1 service 8 0 602.98 612.98 306.6 0
#1 service 19 0 637.06 647.06 330.68 0
#1 service 22 0 661.62 671.62 345.24 0
#1 service 17 0 681.91 691.91 355.54 327.91
#1 service 14 4.04 702.96 717.0 366.58 0
#1 service 16 0 735.03 745.03 384.61 0
#1 service 20 0 754.88 764.88 394.46 0
#1 service 5 0 780.14 790.14 409.73 315.14
#1 service 11 0 808.17 818.17 427.75 0
#1 service 3 0 827.6 837.6 437.19 330.6
#1 service 1 0 843.6 853.6 443.19 387.6
#1 service 18 0 870.63 880.63 460.22 0
#1 service 10 0 887.34 897.34 466.93 0
#1 service 13 0 920.75 930.75 490.33 254.75
#1 finish 0 0 962.37 962.37 521.96 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   190.42  962.37 521.96 1764.8
