Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 1 0 32.39 42.39 32.39 0
#1 service 2 0 45.39 55.39 35.39 0
#1 service 5 0 58.39 68.39 38.39 0
#1 service 8 0 73.77 83.77 43.77 0
#1 service 6 0 85.77 95.77 45.77 0
#1 service 9 0 105.21 115.21 55.21 0
#1 service 4 0 120.21 130.21 60.21 0
#1 service 3 0 132.21 142.21 62.21 43.21
#1 service 10 0 148.04 158.04 68.04 0
#1 service 7 0 169.22 179.22 79.22 0
#1 finish 0 0 219.53 219.53 119.53 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  219.53 119.53 43.21
