Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 5 0 40.31 50.31 40.31 0
#1 service 6 34.49 60.51 105.0 50.51 0
#1 service 8 0 110.83 120.83 56.34 0
#1 service 3 0 129.43 139.43 64.94 0
#1 service 4 0 144.82 154.82 70.33 0
#1 service 2 0 160.2 170.2 75.71 0
#1 service 9 0 211.96 221.96 117.47 90.96
#1 service 7 0 262.28 272.28 157.79 68.28
#1 service 10 0 307.63 317.63 193.14 158.63
#1 service 1 0 365.9 375.9 241.41 239.9
#1 finish 0 0 402.92 402.92 268.43 162.92
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   34.49  402.92 268.43 720.69
