Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 3 0 12.21 102.21 12.21 0
#1 service 10 0 127.7 217.7 37.7 0
#1 service 2 123.27 235.73 449.0 55.73 0
#1 service 8 0 451.83 541.83 58.56 0
#1 service 5 0 544.66 634.66 61.39 0
#1 service 4 0 637.66 727.66 64.39 0
#1 service 1 0 729.89 819.89 66.62 0
#1 service 6 0 823.06 913.06 69.78 0
#1 service 7 0 916.06 1006.06 72.78 0
#1 service 9 0 1023.32 1113.32 90.05 799.32
#1 finish 0 0 1128.45 1128.45 105.18 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   123.27  1128.45 105.18 799.32
