Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 1 20.98 32.02 63.0 32.02 0
#1 service 2 17.96 75.04 103.0 44.06 0
#1 service 4 0 124.02 134.02 65.08 12.02
#1 service 3 0 142.02 152.02 73.08 0
#1 service 5 0 162.79 172.79 83.85 10.79
#1 service 10 0 193.6 203.6 104.66 23.6
#1 service 7 0 215.64 225.64 116.7 37.64
#1 service 9 0 238.8 248.8 129.85 80.8
#1 service 6 0 263.66 273.66 144.72 111.66
#1 service 8 0 290.78 300.78 161.84 134.78
#1 finish 0 0 311.96 311.96 173.02 81.96
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   38.94  311.96 173.02 493.27
