Route Activity Job Wait_Time Arrive_Time Leave_Time Distance Late_Time
#1 start 0 0 0 0 0.0 0
#1 service 5 0 15.81 25.81 15.81 0
#1 service 3 0 48.17 58.17 38.17 0
#1 service 1 0 65.24 75.24 45.24 0
#1 service 10 0 77.24 87.24 47.24 0
#1 service 2 0 90.85 100.85 50.85 0
#1 service 4 0 117.97 127.97 67.97 0
#1 service 9 0 138.16 148.16 78.16 0
#1 service 8 0 158.21 168.21 88.21 0
#1 service 6 0 174.21 184.21 94.21 0
#1 service 7 0 190.54 200.54 100.54 0
#1 finish 0 0 212.58 212.58 112.58 0
-//- -//- -//- -//- -//- -//- -//- -//--
TOTAL   0  212.58 112.58 0
